txn_id,is_fraud
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,1
395,0
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,0
414,0
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,0
494,0
495,1
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,1
530,0
